id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
1,1,2,0,1,0,5.9,0,1
1,2,2,1,0,1,3.1,0,4
1,4,2,0,1,1,3.51,1,1
1,5,2,1,0,1,2.73,0,4
1,6,2,1,1,1,3.41,1,2
1,7,2,1,0,0,6.25,1,4
1,8,2,0,1,1,2.79,1,1
1,9,2,0,0,1,5.4,0,3
1,11,2,1,0,0,4.55,1,4
1,12,2,0,1,0,4.73,0,1
1,13,2,0,0,1,4.82,0,3
1,15,2,0,0,1,7,0,3
1,16,2,0,1,1,5.46,1,1
1,17,2,1,0,1,2.98,0,4
1,18,2,0,1,1,6.97,1,1
1,19,2,1,1,1,3.05,1,2
1,20,2,0,1,0,3.88,0,1
1,21,2,1,1,0,3.87,0,2
1,22,2,0,0,0,8.25,1,3
1,23,2,0,1,1,6.38,1,1
1,24,2,1,0,1,2.83,0,4
1,25,2,1,1,0,5.44,0,2
1,26,2,0,0,1,6.64,0,3
1,27,2,1,0,1,2.73,0,4
1,28,2,0,0,0,3.33,1,3
1,29,2,0,1,1,4.73,1,1
1,30,2,1,1,1,4.72,1,2
1,31,2,1,1,0,6.15,0,2
1,32,2,1,0,0,5.6,1,4
1,34,2,0,0,1,4.29,0,3
1,35,2,0,0,0,5.72,1,3
1,36,2,1,0,1,4.64,0,4
1,37,2,1,0,0,4.75,1,4
1,38,2,1,0,1,6.36,0,4
1,40,2,1,1,1,4.4,1,2
1,41,2,0,1,1,3.09,1,1
1,42,2,1,1,1,4.65,1,2
1,43,2,1,1,1,3.37,1,2
1,44,2,1,0,0,4.37,1,4
1,45,2,0,0,0,8.12,1,3
1,46,2,1,0,1,2.86,0,4
1,47,2,0,0,1,7.27,0,3
1,48,2,0,1,1,5.54,1,1
1,49,2,0,0,1,5.99,0,3
1,50,2,0,1,0,3.87,0,1
1,51,2,1,1,0,3.12,0,2
1,52,2,1,1,0,3.08,0,2
1,53,2,0,1,0,5.24,0,1
1,54,2,0,0,1,3.67,0,3
1,55,2,1,0,0,2.65,1,4
1,56,2,0,0,0,4.44,1,3
1,57,2,0,0,1,4.54,0,3
1,58,2,0,1,1,6.03,1,1
1,59,2,0,1,1,4.27,1,1
1,60,2,1,1,1,7.19,1,2
2,1,2,0,1,1,2.62,1,1
2,2,2,0,1,1,3.24,1,1
2,3,2,1,1,0,2.45,0,2
2,4,2,0,1,0,3.18,0,1
2,5,2,1,1,1,1.85,1,2
2,6,2,1,0,1,2.08,0,4
2,7,2,1,1,1,4.55,1,2
2,8,2,0,1,1,2.15,1,1
2,9,2,0,1,0,5.73,0,1
2,10,2,1,1,1,2.24,1,2
2,11,2,1,0,0,3.45,1,4
2,12,2,0,0,1,2.38,0,3
2,13,2,1,0,0,4.5,1,4
2,14,2,0,1,0,2.45,0,1
2,15,2,1,0,1,2.3,0,4
2,16,2,0,0,1,2.86,0,3
2,17,2,1,1,1,1.79,1,2
2,18,2,1,1,1,3.56,1,2
2,19,2,1,1,1,2.45,1,2
2,20,2,1,0,1,2.03,0,4
2,21,2,1,0,1,2.63,0,4
2,22,2,0,0,1,2.59,0,3
2,23,2,1,1,0,3.7,0,2
2,24,2,1,0,1,4.02,0,4
2,25,2,0,0,0,2.44,1,3
2,26,2,1,1,1,2.53,1,2
2,27,2,1,1,1,2.94,1,2
2,28,2,0,1,1,2.43,1,1
2,29,2,0,1,0,3.71,0,1
2,30,2,0,1,1,3.51,1,1
2,31,2,1,1,1,1.64,1,2
2,32,2,1,0,1,2.62,0,4
2,33,2,0,0,0,2.6,1,3
2,34,2,0,1,0,3.42,0,1
2,35,2,0,1,0,2.45,0,1
2,36,2,1,0,1,1.44,0,4
2,37,2,1,0,1,1.8,0,4
2,38,2,0,0,0,2.73,1,3
2,39,2,0,0,1,2.84,0,3
2,40,2,1,1,0,2.12,0,2
2,41,2,0,0,1,2.48,0,3
2,42,2,0,1,1,3.02,1,1
2,43,2,0,0,0,2.27,1,3
2,44,2,1,0,1,1.41,0,4
2,45,2,1,0,1,2.57,0,4
2,46,2,1,1,1,1.98,1,2
2,47,2,0,0,1,1.64,0,3
2,48,2,0,1,0,4.29,0,1
2,49,2,0,0,0,3.08,1,3
2,50,2,0,0,1,2.5,0,3
2,51,2,1,0,1,1.87,0,4
2,52,2,1,1,1,2.07,1,2
2,53,2,0,0,0,3.38,1,3
2,54,2,1,0,1,1.95,0,4
2,55,2,1,0,0,2.3,1,4
2,57,2,1,1,1,2.64,1,2
2,58,2,0,1,0,3.2,0,1
2,59,2,0,0,1,2.87,0,3
2,60,2,0,1,0,4.42,0,1
3,1,2,0,0,0,3.2,1,3
3,2,2,1,1,0,2.66,0,2
3,3,2,1,0,0,3.51,1,4
3,4,2,0,1,1,4.85,1,1
3,5,2,0,0,1,3.65,0,3
3,6,2,1,1,0,3.33,0,2
3,7,2,0,1,0,6.92,0,1
3,8,2,0,1,0,3.5,0,1
3,9,2,0,1,1,2.36,1,1
3,10,2,0,0,0,2.94,1,3
3,11,2,0,1,1,2.36,1,1
3,12,2,1,1,1,3.31,1,2
3,13,2,1,0,1,1.99,0,4
3,14,2,1,1,0,3.22,0,2
3,15,2,1,1,1,5.6,1,2
3,16,2,1,0,1,3.59,0,4
3,17,2,0,1,0,3.7,0,1
3,18,2,1,1,1,2.08,1,2
3,19,2,1,1,0,5.35,0,2
3,20,2,1,0,1,2.64,0,4
3,21,2,0,0,1,3.63,0,3
3,22,2,0,1,0,4.27,0,1
3,23,2,1,1,1,2.78,1,2
3,24,2,1,1,0,4.13,0,2
3,25,2,1,1,1,6.8,1,2
3,26,2,1,1,1,2.43,1,2
3,27,2,0,1,0,3.62,0,1
3,28,2,1,1,1,3.02,1,2
3,29,2,0,0,1,2.82,0,3
3,31,2,0,0,1,4.4,0,3
3,32,2,1,0,1,1.98,0,4
3,33,2,1,0,0,2.98,1,4
3,34,2,1,0,1,4.38,0,4
3,35,2,1,0,1,3.5,0,4
3,36,2,0,1,1,3.57,1,1
3,37,2,1,0,0,2.29,1,4
3,38,2,1,0,1,2.97,0,4
3,39,2,1,0,0,4.38,1,4
3,40,2,1,0,1,2.22,0,4
3,41,2,0,0,0,6.1,1,3
3,42,2,0,0,1,2.5,0,3
3,43,2,1,1,1,2.48,1,2
3,44,2,1,0,0,2.37,1,4
3,45,2,0,0,1,4.17,0,3
3,46,2,1,1,1,2.52,1,2
3,47,2,0,1,1,3.44,1,1
3,48,2,0,0,1,2.65,0,3
3,49,2,1,0,1,1.88,0,4
3,50,2,0,0,0,6.2,1,3
3,51,2,0,1,1,4.47,1,1
3,52,2,0,0,1,2.26,0,3
3,53,2,0,1,1,2.53,1,1
3,54,2,0,1,0,4.06,0,1
3,55,2,1,1,1,5.77,1,2
3,56,2,0,0,0,2.79,1,3
3,57,2,0,0,1,7.48,0,3
3,58,2,1,0,1,2.33,0,4
3,59,2,0,1,1,2.2,1,1
3,60,2,0,1,1,3.19,1,1
4,1,2,1,0,0,5.91,1,4
4,2,2,1,0,1,4.85,0,4
4,3,2,0,1,0,4.07,0,1
4,5,2,1,1,1,3.1,1,2
4,6,2,1,1,1,3.75,1,2
4,7,2,1,0,1,2.75,0,4
4,8,2,0,1,1,3.9,1,1
4,9,2,1,1,1,2.89,1,2
4,10,2,1,0,1,4.55,0,4
4,11,2,1,1,1,5.35,1,2
4,12,2,1,0,1,4,0,4
4,13,2,1,1,1,2.6,1,2
4,14,2,1,0,1,2.4,0,4
4,15,2,0,0,1,3.69,0,3
4,16,2,0,0,1,2.51,0,3
4,17,2,1,0,1,2.71,0,4
4,18,2,1,0,1,2.38,0,4
4,19,2,0,0,1,4.4,0,3
4,20,2,1,0,0,5.25,1,4
4,21,2,0,0,1,3.46,0,3
4,22,2,0,0,1,2.83,0,3
4,23,2,1,0,1,3.65,0,4
4,24,2,0,1,0,4.1,0,1
