id,stim_type,factual_truth,resp,correct,rt,rt_question,condition
1,1,1,0,0,1.50363479997031,1.83225380000658,2
1,1,0,1,0,0.904189300024882,1.68491529999301,4
1,0,0,1,0,1.01176110003144,1.13387190003414,3
1,0,0,1,0,1.11587609990966,2.48043500003405,3
1,0,1,1,1,1.02197890006937,1.54518770007417,1
1,1,0,1,0,1.0429020000156,1.11883539997507,4
1,1,0,0,1,1.75157979992218,3.07419999991544,4
1,1,0,0,1,1.49047390010674,2.43194749997929,4
1,0,0,1,0,1.07763900002465,1.44060760003049,3
1,0,1,1,1,1.81870369997341,2.23718620010186,1
1,0,1,0,0,1.11050989991054,2.26153500005603,1
1,1,0,1,0,1.15665919997264,1.45249890000559,4
1,1,0,1,0,1.12366000004113,1.60591949999798,4
1,0,1,0,0,1.11245310003869,1.47857680008747,1
1,1,1,0,0,1.7347587000113,1.31727200001478,2
1,1,1,1,1,1.02017430006526,1.71764299995266,2
1,0,0,0,1,1.17927920003422,1.17520529998001,3
1,0,1,1,1,0.984003899968229,1.2972529999678999,1
1,1,1,0,0,0.894140499993227,2.38541830005124,2
1,0,1,1,1,2.57925059995614,1.91757389996201,1
1,0,0,0,1,1.01309220003895,2.2254219999304,3
1,1,0,1,0,1.16816300002392,1.31068130000494,4
1,1,0,0,1,1.2564621999627,1.82626999996137,4
1,0,0,1,0,2.16929099999834,1.69462470000144,3
1,0,0,1,0,1.39303129992913,1.47902359999716,3
1,0,0,1,0,2.39163770002779,1.34643949999008,3
1,0,0,0,1,0.936961699975654,2.11103279993404,3
1,1,1,1,1,1.3807612999808,1.58628789999057,2
1,0,0,0,1,1.82080300000962,1.55861680000089,3
1,1,0,1,0,1.02981350000482,1.30939050007146,4
1,1,1,0,0,1.12428910005838,1.39125540002715,2
1,1,1,0,0,1.52697649993934,1.62241710000671,2
1,0,1,1,1,2.3097689000424,2.86380759999156,1
1,0,0,0,1,1.43015179992653,2.55357029999141,3
1,1,1,0,0,2.20081389998086,1.93695270002354,2
1,0,1,1,1,1.17859129991848,2.40376880008262,1
1,1,1,1,1,0.936478199902922,1.63832130003721,2
1,1,1,1,1,0.863684299984016,1.40782099997159,2
1,0,0,0,1,1.37335200002417,1.26039909990504,3
1,0,0,0,1,1.37241660000291,1.44713330001105,3
1,1,0,1,0,1.38277310004923,1.33156839990988,4
1,1,0,0,1,1.16420699993614,1.25205730006564,4
1,1,1,1,1,1.24922490003519,1.44386039988603,2
1,1,0,1,0,1.01326749997679,1.26066010002978,4
1,0,1,0,0,2.25677900004666,1.31909050000831,1
1,0,1,1,1,1.65516079997178,1.15103210008238,1
